Water_kg_m3,Cement_kg_m3,Water_Cement,NCA_FM,NCA_kg_m3,RCA_FM,RCA_Absorption_Capacity_perc,RCA_kg_m3,Replacement_Percentage_of_RCA,NFA_FM,NFA_kg_m3,CR_FM,CR_kg_m3,Replacement_Percentage_of_CR,Addition_of_Fiber_kg_m3,Addition_of_Fiber_perc,No_Fiber,PP,Steel,Steel_Tire_Wires,Age_in_Days,Flexural_Strength_MPa
162.298,427.1,0.38,6.51,990.2,0,0,0,0,2.39,678.7,0,0,0,0,0,1,0,0,0,28,3.52
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,0,0,1,0,0,0,28,3.48
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,9.1,1,0,1,0,0,28,3.51
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,18.2,2,0,1,0,0,28,3.57
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,28,3
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,28,3.12
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,28,2.95
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,28,3.06
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,0,0,1,0,0,0,28,3.2
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,9.1,1,0,1,0,0,28,3.38
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,18.2,2,0,1,0,0,28,3.82
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,28,3.35
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,28,3.8
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,28,3.33
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,28,3.49
205,456,0.45,6.73,979.6,0,0,0,0,2.8,731.4,0,0,0,0,0,1,0,0,0,56,4.85
205,456,0.45,6.73,979.6,0,0,0,0,2.8,731.4,0,0,0,0,0,1,0,0,0,56,5.15
205,456,0.45,6.73,979.6,0,0,0,0,2.8,731.4,0,0,0,0,0,1,0,0,0,56,5.2
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,0,0,1,0,0,0,56,5.13
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,0,0,1,0,0,0,56,4.95
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,0,0,1,0,0,0,56,5.04
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,4.55,0.5,0,1,0,0,56,4.2
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,4.55,0.5,0,1,0,0,56,4.45
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,4.55,0.5,0,1,0,0,56,4.4
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,0,0,1,0,0,0,56,4.12
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,0,0,1,0,0,0,56,3.95
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,0,0,1,0,0,0,56,4.02
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,4.55,0.5,0,1,0,0,56,3.92
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,4.55,0.5,0,1,0,0,56,3.85
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,4.55,0.5,0,1,0,0,56,4
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,0,0,1,0,0,0,56,6.15
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,0,0,1,0,0,0,56,5.87
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,0,0,1,0,0,0,56,6.15
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,4.55,0.5,0,1,0,0,56,4.87
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,4.55,0.5,0,1,0,0,56,4.7
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,4.55,0.5,0,1,0,0,56,4.6
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,0,0,1,0,0,0,56,4.67
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,0,0,1,0,0,0,56,4.81
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,0,0,1,0,0,0,56,4.55
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,4.55,0.5,0,1,0,0,56,4.38
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,4.55,0.5,0,1,0,0,56,4.44
205,456,0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,4.55,0.5,0,1,0,0,56,4.43
125,330,0.378787879,6.5,1443,0,0,0,0,2.6,560,0,0,0,0,0,1,0,0,0,180,5.74
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,560,0,0,0,0,0,1,0,0,0,180,5.15
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,504,2.5,18.1,10,0,0,1,0,0,0,180,4.8
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,448,2.5,36.2,20,0,0,1,0,0,0,180,4.53
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,392,2.5,54.3,30,0,0,1,0,0,0,180,4.1
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,560,0,0,0,0,0,1,0,0,0,28,5.2
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,504,2.5,18.1,10,0,0,1,0,0,0,28,4.57
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,448,2.5,36.2,20,0,0,1,0,0,0,28,4.05
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,392,2.5,54.3,30,0,0,1,0,0,0,28,3.83
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,336,2.5,72.4,40,0,0,1,0,0,0,28,3.67
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,504,2.5,18.1,10,0,0,1,0,0,0,28,4.87
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,448,2.5,36.2,20,0,0,1,0,0,0,28,4.5
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,392,2.5,54.3,30,0,0,1,0,0,0,28,4.27
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,336,2.5,72.4,40,0,0,1,0,0,0,28,3.73
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,504,2.5,18.1,10,0,0,1,0,0,0,28,5
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,448,2.5,36.2,20,0,0,1,0,0,0,28,4.63
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,392,2.5,54.3,30,0,0,1,0,0,0,28,4.333
139,330,0.421212121,0,0,6.5,3,1340,100,2.6,336,2.5,72.4,40,0,0,1,0,0,0,28,3.9
126,385,0.34,6.5,1142,0,0,0,0,2.38,633,0,0,0,0,0,1,0,0,0,56,4.7
126,385,0.34,6.5,1142,0,0,0,0,2.38,570,1.79,29,10,0,0,1,0,0,0,56,4.3
125,385,0.34,6.5,1142,0,0,0,0,2.38,507,1.79,57,20,0,0,1,0,0,0,56,3.8
155,385,0.34,6.5,571,6.5,8.02,571,50,2.38,633,0,0,0,0,0,1,0,0,0,56,4.95
155,385,0.34,6.5,571,6.5,8.02,571,50,2.38,570,1.79,29,10,0,0,1,0,0,0,56,3.8
155,385,0.34,6.5,571,6.5,8.02,571,50,2.38,507,1.79,57,20,0,0,1,0,0,0,56,3.8
185,385,0.34,0,0,6.5,8.02,1142,100,2.38,633,0,0,0,0,0,1,0,0,0,56,4.75
184,385,0.34,0,0,6.5,8.02,1142,100,2.38,570,1.79,29,10,0,0,1,0,0,0,56,3.55
184,385,0.34,0,0,6.5,8.02,1142,100,2.38,507,1.79,57,20,0,0,1,0,0,0,56,3.2
184,460,0.35,6.5,1113.2,0,0,0,0,2.52,626.2,0,0,0,0,0,1,0,0,0,120,8.5
222,460,0.35,0,0,6.5,3.82,994.5,100,2.52,626.2,0,0,0,78,1,0,0,1,0,120,7.8
222,460,0.35,0,0,6.5,3.82,994.5,100,2.52,601.2,2.5,10.2,4,78,1,0,0,1,0,120,6.9
222,460,0.35,0,0,6.5,3.82,994.5,100,2.52,576.1,2.5,20.4,8,78,1,0,0,1,0,120,5.9
222,460,0.35,0,0,6.5,3.82,994.5,100,2.52,551.1,2.5,30.6,12,78,1,0,0,1,0,120,6.1
222,460,0.35,0,0,6.5,3.82,994.5,100,2.52,526,2.5,40.8,16,78,1,0,0,1,0,120,5.7
119,385,0.31,6.5,1142,0,0,0,0,2.5,633,0,0,0,0,0,1,0,0,0,28,3.8
120,385,0.31,6.5,571,6.5,4.42,571,50,2.5,570,2.5,29,10,0,0,1,0,0,0,28,2.5
123,385,0.31,0,0,6.5,4.42,1142,100,2.5,507,2.5,57,20,0,0,1,0,0,0,28,3.5
120,385,0.31,6.5,1142,0,0,0,0,2.5,633,0,0,0,4.6,0.1,0,0,0,1,28,4.4
121.5,385,0.31,6.5,571,6.5,4.42,571,50,2.5,570,2.5,29,10,4.6,0.1,0,0,0,1,28,4.2
124,385,0.31,0,0,6.5,4.42,1142,100,2.5,507,2.5,57,20,4.6,0.1,0,0,0,1,28,3.5
393,874,0.45,6.5,950,0,0,0,0,1.47,874,0,0,0,0,0,1,0,0,0,28,10.61
393,874,0.45,0,0,6.5,2,855,90,1.47,874,2.5,95,10,0,0,1,0,0,0,28,10.14
393,874,0.45,0,0,6.5,2,855,90,1.47,874,2.5,95,10,0,0.25,0,0,0,1,28,10.86
393,874,0.45,0,0,6.5,2,855,90,1.47,874,2.5,95,10,0,0.5,0,0,0,1,28,11.49
393,874,0.45,0,0,6.5,2,855,90,1.47,874,2.5,95,10,0,1,0,0,0,1,28,11.72
393,874,0.45,0,0,6.5,2,760,80,1.47,874,2.5,190,20,0,0,1,0,0,0,28,7.75
393,874,0.45,0,0,6.5,2,760,80,1.47,874,2.5,190,20,0,0.25,0,0,0,1,28,8.27
393,874,0.45,0,0,6.5,2,760,80,1.47,874,2.5,190,20,0,0.5,0,0,0,1,28,9.2
393,874,0.45,0,0,6.5,2,760,80,1.47,874,2.5,190,20,0,1,0,0,0,1,28,9.36
393,874,0.45,0,0,6.5,2,665,70,1.47,874,2.5,285,30,0,0,1,0,0,0,28,7.14
393,874,0.45,0,0,6.5,2,665,70,1.47,874,2.5,285,30,0,0.25,0,0,0,1,28,7.85
393,874,0.45,0,0,6.5,2,665,70,1.47,874,2.5,285,30,0,0.5,0,0,0,1,28,8.06
393,874,0.45,0,0,6.5,2,665,70,1.47,874,2.5,285,30,0,1,0,0,0,1,28,8.79
393,874,0.45,0,0,6.5,2,570,60,1.47,874,2.5,380,40,0,0,1,0,0,0,28,6.32
393,874,0.45,0,0,6.5,2,570,60,1.47,874,2.5,380,40,0,0.25,0,0,0,1,28,6.64
393,874,0.45,0,0,6.5,2,570,60,1.47,874,2.5,380,40,0,0.5,0,0,0,1,28,6.98
393,874,0.45,0,0,6.5,2,570,60,1.47,874,2.5,380,40,0,1,0,0,0,1,28,7.41
393,874,0.45,0,0,6.5,2,475,50,1.47,874,2.5,475,50,0,0,1,0,0,0,28,4.46
393,874,0.45,0,0,6.5,2,475,50,1.47,874,2.5,475,50,0,0.25,0,0,0,1,28,5.12
393,874,0.45,0,0,6.5,2,475,50,1.47,874,2.5,475,50,0,0.5,0,0,0,1,28,5.48
393,874,0.45,0,0,6.5,2,475,50,1.47,874,2.5,475,50,0,1,0,0,0,1,28,6.22
